course,algorithm,rmse_lat,rmse_theta,rmse_v,max_lat,smoothness,step_time_ms,n_degrade
straight,LQR-Stanley,0.049754,0.048637,0.364315,0.200000,0.00000406,0.108,154
straight,PurePursuit,0.050341,0.058291,0.430075,0.200000,0.00000383,0.024,0
straight,Stanley-only,0.860360,2.737374,0.218283,1.249670,0.00007333,0.023,0
straight,SMC,0.587110,1.129623,0.254661,0.913535,0.00004046,0.025,0
s_curve,LQR-Stanley,0.033470,0.097998,0.144830,0.142729,0.00000827,0.106,98
s_curve,PurePursuit,0.019708,0.115048,0.241327,0.142729,0.00000526,0.024,0
s_curve,Stanley-only,0.617218,2.833549,0.147405,0.782548,0.00007352,0.025,0
s_curve,SMC,0.466796,0.987888,0.205370,0.819442,0.00003542,0.027,0
sharp_turn,LQR-Stanley,0.066121,0.057803,0.422685,0.200000,0.00001366,0.114,154
sharp_turn,PurePursuit,0.058929,0.068770,0.557466,0.200000,0.00000920,0.024,0
sharp_turn,Stanley-only,0.860360,2.737374,0.218283,1.249670,0.00007333,0.024,0
sharp_turn,SMC,0.527045,1.052838,0.333072,0.913535,0.00003739,0.027,0
low_speed,LQR-Stanley,0.059479,0.094974,0.016251,0.200000,0.00000180,0.117,4708
low_speed,PurePursuit,0.065896,0.097085,0.028686,0.200000,0.00000200,0.023,0
low_speed,Stanley-only,1.127872,2.788261,0.018290,1.241470,0.00005526,0.023,0
low_speed,SMC,0.093390,0.375508,0.019969,0.200000,0.00001524,0.025,0
combined,LQR-Stanley,0.037494,0.058469,0.265377,0.200000,0.00000647,0.104,217
combined,PurePursuit,0.042301,0.060888,0.493622,0.200000,0.00000814,0.023,0
combined,Stanley-only,0.860360,2.737374,0.218283,1.249670,0.00007333,0.023,0
combined,SMC,0.500313,1.009704,0.430690,0.913535,0.00003840,0.025,0
