x,y,theta
0.000000000000000000e+00,0.000000000000000000e+00,7.853981633974482790e-01
1.036340181912757341e+00,6.756249714769262393e-01,5.364729432079465843e-01
1.767301016871285935e+00,9.294356458979362579e-01,5.275639284297347631e-01
2.921865521821856326e+00,1.822522357218377964e+00,6.475465585362021326e-01
3.900789276265223204e+00,2.625699227627574572e+00,4.093611074307463293e-01
4.814149908609762107e+00,2.526080437012965252e+00,1.374975267314681449e-01
6.275526244565091893e+00,2.530466737183943327e+00,-3.689096724473174549e-02
7.704406862012340262e+00,2.602455667771132575e+00,-2.817358985951893061e-02
9.967800878603380710e+00,3.039259321933825309e+00,1.454837373859825533e-01
1.078065069865249193e+01,3.701468555460293963e+00,3.345183768184951112e-01
1.070941284736794685e+01,3.566554632997702257e+00,3.328939988775531655e-01
1.221132805722571391e+01,3.547233989298689494e+00,2.239861508214067709e-01
1.342447795371900732e+01,4.513159455472207426e+00,5.047005483106989931e-01
1.462852347296323074e+01,5.757022955519325080e+00,7.553958902237916107e-01
1.576768260874609240e+01,7.058784173159113884e+00,7.721750520275584284e-01
1.675432289323873292e+01,8.086908756561861367e+00,8.677928771613738768e-01
1.752943977194545511e+01,8.961451652879201646e+00,1.175186426302777809e+00
1.751730538165056927e+01,9.864697248602022128e+00,1.391204896865041674e+00
1.801553764544854630e+01,1.111631838574764686e+01,1.297217749163852574e+00
1.859315165755781507e+01,1.157853371626692152e+01,1.124428555058517798e+00
